doi,times_cited,retrieved_date
10.1002/ajb2.1133,0,2018-09-14
10.1002/spp2.1114,0,2018-09-14
10.1002/spp2.1117,0,2018-09-14
10.1002/spp2.1221,0,2018-09-14
10.1007/s00015-018-0304-9,0,2018-09-14
10.1007/s00114-018-1574-9,0,2018-09-14
10.1007/s00435-018-0410-2,0,2018-09-14
10.1007/s00436-018-6047-8,0,2018-09-14
10.1007/s00436-018-6067-4,0,2018-09-14
10.1007/s10228-018-0639-2,0,2018-09-14
10.1007/s10228-018-0646-3,0,2018-09-14
10.1007/s10336-018-1590-8,0,2018-09-14
10.1007/s10914-018-9444-y,0,2018-09-14
10.1007/s11230-018-9796-y,0,2018-09-14
10.1007/s11230-018-9803-3,0,2018-09-14
10.1007/s11230-018-9808-y,0,2018-09-14
10.1007/s11230-018-9812-2,0,2018-09-14
10.1007/s12542-018-0404-x,0,2018-09-14
10.1007/s12542-018-0410-z,0,2018-09-14
10.1007/s12542-018-0417-5,0,2018-09-14
10.1007/s13127-018-0367-5,0,2018-09-14
10.1007/s13358-018-0155-z,0,2018-09-14
10.1007/s13744-018-0602-y,0,2018-09-14
10.1016/j.annpal.2018.04.001,0,2018-09-14
10.1016/j.annpal.2018.04.002,0,2018-09-14
10.1016/j.aquaculture.2018.06.024,0,2018-09-14
10.1016/j.aspen.2018.07.020,0,2018-09-14
10.1016/j.bbapap.2018.04.007,1,2018-09-14
10.1016/j.cretres.2018.05.003,0,2018-09-14
10.1016/j.cretres.2018.05.019,0,2018-09-14
10.1016/j.cretres.2018.06.007,0,2018-09-14
10.1016/j.cretres.2018.06.013,0,2018-09-14
10.1016/j.cretres.2018.08.006,0,2018-09-14
10.1016/j.dib.2018.07.015,0,2018-09-14
10.1016/j.dsr.2018.07.003,0,2018-09-14
10.1016/j.geobios.2018.08.003,0,2018-09-14
10.1016/j.jafrearsci.2018.05.008,0,2018-09-14
10.1016/j.jcz.2018.04.001,1,2018-09-14
10.1016/j.jcz.2018.04.004,0,2018-09-14
10.1016/j.jhevol.2018.02.012,0,2018-09-14
10.1016/j.jhevol.2018.03.009,0,2018-09-14
10.1016/j.jhevol.2018.04.012,1,2018-09-14
10.1016/j.jsames.2018.05.017,0,2018-09-14
10.1016/j.jsames.2018.08.010,0,2018-09-14
10.1016/j.mambio.2018.08.004,0,2018-09-14
